Cell_Name,Area_um2,Leakage_Power_W,Input_Cap_pF,Rise_Delay_ns,Fall_Delay_ns,Avg_Delay_ns,Cell_Type,Drive_Strength,PDP,Energy_per_transition,Delay_per_Area,Power_per_Area,Normalized_Area,Normalized_Delay,Normalized_Power,Delay_Skew,Log_Area,Log_Delay,Log_Power,Area_x_Cap,Delay_x_Power,CellType_AND,CellType_AOI,CellType_BUF,CellType_CLKBUF,CellType_CLKGATE,CellType_CLKGATETST,CellType_DFF,CellType_DFFR,CellType_DFFRS,CellType_DFFS,CellType_DLH,CellType_DLL,CellType_FA,CellType_HA,CellType_INV,CellType_MUX,CellType_NAND,CellType_NOR,CellType_OAI,CellType_OR,CellType_SDFF,CellType_SDFFR,CellType_SDFFRS,CellType_SDFFS,CellType_TBUF,CellType_TINV,CellType_TLAT,CellType_XNOR,CellType_XOR
AOI222_X1,2.128,47.398844,1.636678,0.016709,0.008528,0.012618500000000001,AOI,1.0,0.598102313014,0.818339,0.005929746240601504,22.273892857142854,8.0,3.075736210861662,inf,0.008181,0.3279716236230108,-1.8989922679476952,1.6757677498904742,3.4828507840000005,0.598102313014,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOI222_X2,3.724,94.797579,3.164179,0.016344,0.008362,0.012353,AOI,2.0,1.1710344933869998,1.5820895,0.003317132116004296,25.45584828141783,14.0,3.0110210732475418,inf,0.007982000000000001,0.5710096723093051,-1.9082275585802821,1.976797246194959,11.783402596,1.1710344933869998,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AOI222_X4,3.724,134.853561,1.596468,0.056688,0.03877,0.047729,AOI,4.0,6.436425612969001,0.798234,0.012816595059076261,36.212019602577875,14.0,11.633856132521,inf,0.017918000000000003,0.5710096723093051,-1.321217664712554,2.1298624191035618,5.9452468320000005,6.436425612969001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BUF_X1,0.798,21.438247,0.974659,0.0150655,0.0201865,0.017626,BUF,1.0,0.377870541622,0.4873295,0.02208771929824561,26.864971177944863,3.0,4.296305143451888,inf,0.005120999999999999,-0.09799710864927001,-1.7538462342138748,1.331189270323329,0.7777778820000001,0.377870541622,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BUF_X2,1.064,43.06082,1.779209,0.0141067,0.0187474,0.01642705,BUF,2.0,0.7073622431809999,0.8896045,0.01543895676691729,40.4706954887218,4.0,4.004063281898407,inf,0.004640700000000001,0.026941627959029855,-1.784440420968567,1.6340822957634638,1.893078376,0.7073622431809999,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BUF_X4,1.862,86.121805,3.401892,0.0133259,0.0177123,0.015519100000000001,BUF,4.0,1.3365329039755,1.700946,0.008334640171858218,46.25231203007518,7.0,3.7827521361479746,inf,0.0043864,0.2699796766453241,-1.8091334684107419,1.935113123489176,6.334322904,1.3365329039755,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BUF_X8,3.458,172.244545,6.585178,0.0136865,0.0180211,0.0158538,BUF,8.0,2.730730567521,3.292589,0.004584673221515327,49.81045257374204,13.0,3.8643346467296915,inf,0.004334600000000001,0.5388249889379039,-1.7998666248510726,2.2361454766527387,22.771545524,2.730730567521,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BUF_X16,6.65,344.4881,12.410827,0.0141412,0.0185573,0.01634925,BUF,16.0,5.632122068924999,6.2054135,0.002458533834586466,51.80272180451127,25.0,3.9850996747180742,inf,0.004416099999999999,0.8228216453031046,-1.7865021652258286,2.5371742242303004,82.53199955,5.632122068924999,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BUF_X32,13.034,688.9762,26.703923,0.0138626,0.0181303,0.01599645,BUF,32.0,11.021173334489998,13.3519615,0.0012272863280650605,52.85992020868497,49.0,3.8991053223630403,inf,0.004267699999999999,1.1150777166595807,-1.7959763871236383,2.838204219894281,348.058932382,11.021173334489998,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CLKBUF_X1,0.798,11.214093,0.77983,0.0214097,0.0208888,0.02114925,CLKBUF,1.0,0.23716965638025,0.389915,0.02650281954887218,14.052748120300752,3.0,5.155090863221936,inf,0.0005209000000000012,-0.09799710864927001,-1.674705029075526,1.049764153440676,0.62230434,0.23716965638025,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CLKBUF_X2,1.064,22.91762,1.405914,0.0188868,0.0192545,0.01907065,CLKBUF,2.0,0.437053909853,0.702957,0.017923543233082706,21.539116541353383,4.0,4.64843592896691,inf,0.00036770000000000205,0.026941627959029855,-1.7196345043004633,1.3601695140573091,1.4958924960000002,0.437053909853,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CLKBUF_X3,1.33,30.558215,1.421162,0.0217369,0.0224011,0.022069,CLKBUF,3.0,0.674389246835,0.710581,0.016593233082706764,22.9761015037594,5.0,5.379278237310774,inf,0.0006642000000000002,0.12385164096708617,-1.6562173453304514,1.4851279821585237,1.89014546,0.674389246835,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CLKGATETST_X1,3.99,59.137918,1.8122,0.018852,0.022379,0.020615500000000002,CLKGATETST,1.0,1.2191577485290002,0.9061,0.005166791979949875,14.821533333333333,15.0,5.0249902805419495,inf,0.003526999999999999,0.6009728956867484,-1.685806127532132,1.7718660307577736,7.230678,1.2191577485290002,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
